transaction_id,from_account,to_account,amount,transaction_type,timestamp,from_node,to_node,status
TX000001,ACC0102,ACC0703,1843.0,TRANSFER,2024-01-01 00:01:00,A,B,PENDING
TX000002,ACC0924,ACC0661,1799.78,TRANSFER,2024-01-01 00:02:00,A,B,PENDING
TX000003,ACC0408,ACC0283,957.14,TRANSFER,2024-01-01 00:03:00,A,B,PENDING
TX000004,ACC0126,ACC0972,4241.69,TRANSFER,2024-01-01 00:04:00,A,A,PENDING
TX000005,ACC0466,ACC0094,3317.22,TRANSFER,2024-01-01 00:05:00,B,B,PENDING
TX000006,ACC0658,ACC0655,2989.76,TRANSFER,2024-01-01 00:06:00,B,B,PENDING
TX000007,ACC0022,ACC0052,3936.11,TRANSFER,2024-01-01 00:07:00,B,B,PENDING
TX000008,ACC0250,ACC0129,3937.02,TRANSFER,2024-01-01 00:08:00,B,A,PENDING
TX000009,ACC0211,ACC0071,4150.79,TRANSFER,2024-01-01 00:09:00,B,C,PENDING
TX000010,ACC0568,ACC0213,2936.05,TRANSFER,2024-01-01 00:10:00,B,A,PENDING
TX000011,ACC0833,ACC0891,1172.66,TRANSFER,2024-01-01 00:11:00,C,A,PENDING
TX000012,ACC0793,ACC0152,3945.33,TRANSFER,2024-01-01 00:12:00,B,C,PENDING
TX000013,ACC0611,ACC0003,1393.6,TRANSFER,2024-01-01 00:13:00,C,A,PENDING
TX000014,ACC0149,ACC0134,2705.68,TRANSFER,2024-01-01 00:14:00,C,C,PENDING
TX000015,ACC0818,ACC0179,558.53,TRANSFER,2024-01-01 00:15:00,C,C,PENDING
TX000016,ACC0888,ACC0027,667.7,TRANSFER,2024-01-01 00:16:00,A,A,PENDING
TX000017,ACC0367,ACC0809,3944.27,TRANSFER,2024-01-01 00:17:00,B,C,PENDING
TX000018,ACC0603,ACC0332,88.75,TRANSFER,2024-01-01 00:18:00,A,C,PENDING
TX000019,ACC0272,ACC0054,642.53,TRANSFER,2024-01-01 00:19:00,C,A,PENDING
